Title,Description,Author,Genre,Price,Quantity
Veil of Reality,A veil that allows its wearer to see the true nature of things.,Rebecca King,Mystery,$19.50,5
Warden of Time,A timekeeper tries to fix the unraveling fabric of time.,Sarah White,Fantasy,$16.00,5
The Unseen Observer,A detective realizes he's a character in someone else's story.,James Davis,Mystery,$24.99,5
Solar Reckoning,A space explorer faces moral dilemmas while colonizing a new world.,Lisa Moore,Fiction,$19.99,5
Invisible Chains,A man discovers he's tied to invisible chains that guide his destiny.,John Black,Thriller,$16.95,5
River of Lost Souls,A canoe trip turns into a journey through purgatory.,Mary Lewis,Horror,$18.50,5
Blueprints to Eternity,Architects design a structure that reaches into another dimension.,Alan Greene,Fiction,$22.45,10
Flames of Redemption,A firefighter battles supernatural fires that cleanse people's sins.,Susan Wilson,Fantasy,$20.99,10
Echoes of Tomorrow,Futuristic echoes inform a young woman’s life-changing decisions.,Emily Brown,Young Adult,$15.95,10
Unseen Enemy,Investigators chase an invisible predator.,Robert Lee,Thriller,$24.00,15
Frozen Hearts,The secret lives and emotions of statues in a city park.,Jennifer Stone,Romance,$16.99,15
Keys to the Abyss,A treasure hunter finds keys to mythical underworlds.,David King,Adventure,$19.45,15
Mask of Truth,A mask grants its wearer the ability to discern truth.,Sarah Smith,Mystery,$21.00,15
Shadows on the Wall,A writer’s characters come to life but begin to rebel against him.,Kevin White,Horror,$23.50,15
Mind's Odyssey,A neuroscientist navigates her own subconscious mind.,Nancy Davis,Fiction,$20.95,15
Glass Galaxy,An entire galaxy captured in a glass orb that grants wishes.,Henry James,Fantasy,$17.99,15
Pulse of the Earth,A seismic event awakens dormant supernatural beings.,Elizabeth Thomas,Thriller,$15.45,15
The Last Raindrop,Earth’s final raindrop marks the beginning of a new era.,Donald Green,Fiction,$18.00,15
Atonement's Price,A man pays dearly for seeking redemption from mysterious forces.,George Miller,Fantasy,$19.99,10
Chameleon Sky,A sky that changes according to people's desires.,Linda Johnson,Fantasy,$14.99,10
Gambit of Shadows,A chess match that controls real-world events.,Jack Lee,Thriller,$21.99,10
Winds of Fate,Two lovers are separated and reunited by supernatural winds.,Melissa Taylor,Romance,$17.95,10
Time's Echo,A pocket watch allows its owner to hear events one day in advance.,Brian Smith,Fiction,$16.50,10
Veins of the Earth,The Earth’s veins carry not just lava but also ancient secrets.,Robert King,Adventure,$22.00,15
Eclipsing Truths,A lunar eclipse reveals hidden truths to the world.,Jennifer Carter,Mystery,$18.50,15
Doorways in the Air,A man finds mysterious doors that lead to other worlds.,Stephen Davis,Fiction,$19.95,15
The Midnight Maze,Nighttime transforms a garden maze into a gateway to other realms.,Angela White,Fantasy,$16.45,15
Ocean's Whisper,Shells whispering ancient myths and foretell natural disasters.,Samuel Thomas,Fantasy,$20.00,15
Twilight of the Machines,"As machines take over, humanity finds unexpected allies.",Laura Green,Fiction,$22.99,10
The Oracle's Mirror,A woman can see different timelines in her mirror.,Mary Lewis,Fantasy,$18.95,10
Spinning Compass,A compass that points the way to whatever you desire most.,Karen Wilson,Mystery,$21.00,10
The Silent Symphony,A musician’s composition is so sublime it silences the world.,Edward Lee,Fantasy,$19.50,10
Warriors of Words,Words become weapons in a realm where language is power.,William Johnson,Fantasy,$24.99,10
